season,date,name,level,surface,indoor,speed,drawType,drawSize,participation,strength,averageEloRating,result
2020,2020-09-14,Rome Masters,M,C,false,46,KO,56,0.7661895023858214,2066,2063,W
2020,2020-08-22,Cincinnati Masters,M,H,false,63,KO,56,0.7780040733197556,2074,2063,W
2020,2020-02-24,Dubai,A,H,false,46,KO,32,0.44489465153970825,1552,2003,W
2020,2020-01-20,Australian Open,G,H,false,71,KO,128,0.9324721080446271,3008,2065,W
2019,2019-10-28,Paris Masters,M,H,true,89,KO,64,0.82899366643209,2089,2088,W
2019,2019-09-30,Tokyo,A,H,false,81,KO,32,0.3541329011345219,1506,1988,W
2019,2019-07-01,Wimbledon,G,G,false,76,KO,128,0.9424544920728127,3049,2073,W
2019,2019-05-06,Madrid Masters,M,C,false,53,KO,64,0.8886625933469111,2209,2100,W
2019,2019-01-14,Australian Open,G,H,false,83,KO,128,0.9389312977099237,3111,2085,W
2018,2018-10-08,Shanghai Masters,M,H,false,84,KO,56,0.7651052274270197,2134,2080,W
2018,2018-08-27,US Open,G,H,false,61,KO,128,0.9776864357017029,3127,2088,W
2018,2018-08-13,Cincinnati Masters,M,H,false,72,KO,56,0.8241683638832314,2189,2095,W
2018,2018-07-02,Wimbledon,G,G,false,82,KO,128,0.9248385202583675,3069,2077,W
2017,2017-06-26,Eastbourne,B,G,false,75,KO,28,0.2857142857142857,1401,1982,W
2017,2017-01-02,Doha,B,H,false,61,KO,32,0.39546191247974066,1587,2014,W