name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,21,2000-2020,W,SF,102-15,6,87.2%
Roland Garros,18,"1999-2015, 2019",W,SF,70-17,1,80.5%
US Open,19,"2000-2015, 2017-2019",W,QF,89-14,5,86.4%
Wimbledon,21,1999-2019,W,F,101-13,8,88.6%
Tour Finals,17,"2002-2015, 2017-2019",W,SF,59-17,6,77.6%
Hamburg,9,"2000-2005, 2007-2008, 2013",W,SF,32-5,4,86.5%
Canada Masters,12,"2000, 2002-2004, 2006-2011, 2014, 2017",W,F,35-10,2,77.8%
Cincinnati Masters,17,"2000, 2002-2015, 2018-2019",W,R16,47-10,7,82.5%
Indian Wells Masters,18,"2001-2015, 2017-2019",W,F,66-13,5,83.5%
Madrid Masters,12,"2002-2003, 2006-2013, 2015, 2019",W,QF,37-9,3,80.4%
Miami Masters,18,"1999-2012, 2014, 2017-2019",W,W,56-14,4,80.0%
Monte Carlo Masters,13,"1999-2002, 2005-2009, 2011, 2014-2016",F,QF,30-13,0,69.8%
Paris Masters,13,"2000-2003, 2007-2011, 2013-2015, 2018",W,SF,23-11,1,67.6%
Rome Masters,17,"2000-2004, 2006-2016, 2019",F,QF,34-16,0,68.0%
Shanghai Masters,8,"2010, 2012-2015, 2017-2019",W,QF,23-6,2,79.3%